"","initial_user","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","track.id","cluster","label"
"1","1122031659",0.38,0.61,0.0359,0.616,4.72e-05,0.221,0.431,"7al73QEzCxEnD0R2PQdlXZ",8,"yes"
"2","1122031659",0.521,0.948,0.102,0.00574,1.16e-06,0.332,0.753,"5oFT3DiLuqiuf3UW5kg2sB",3,"yes"
"3","1122031659",0.553,0.924,0.0943,0.0312,0,0.417,0.71,"1EeXI9S8eg9ORSVzXOvGc8",10,"yes"
"4","1122031659",0.534,0.921,0.0907,0.0514,0,0.0958,0.854,"1EiD3vRb8FKFa1gAOTJPtW",3,"yes"
"5","1122031659",0.707,0.336,0.0306,0.237,0.000984,0.116,0.159,"47jgSvqlKwGyBLPnMfeEZN",8,"yes"
"6","1122031659",0.612,0.797,0.0501,0.231,0.00544,0.181,0.974,"5Pl3IYWPlkCIR7M01naR2y",3,"yes"
"7","1122031659",0.459,0.788,0.0681,0.286,5.62e-06,0.0412,0.721,"5xhYmllWYvH96EJTdatyNb",3,"yes"
"8","1122031659",0.386,0.587,0.0433,0.311,9.05e-06,0.138,0.38,"3UwykZcyNz56ycQHwxO55j",8,"yes"
"9","1122031659",0.664,0.574,0.0351,0.165,0,0.152,0.717,"3gNiXREBvjKeCuqfazR1Ao",3,"yes"
"10","1122031659",0.402,0.898,0.0766,0.00443,0,0.344,0.758,"5EsJAdn84juN4qpdkeH7oO",3,"yes"
"11","1122031659",0.813,0.74,0.0811,0.155,4.03e-05,0.104,0.805,"1xWJMMLMHxjzW7Vl4hhlhN",3,"yes"
"12","1122031659",0.637,0.348,0.119,0.112,2.86e-06,0.362,0.266,"3Od7Qyp7sEit3sm3Zq4e7L",8,"yes"
"13","1122031659",0.449,0.416,0.0608,0.01,0.122,0.0778,0.103,"52jCt6iAEPOzE8ZIjtdZVj",8,"yes"
"14","1122031659",0.665,0.242,0.0266,0.305,0,0.0734,0.242,"4nXADxqchPuHvt9Z3XteXI",8,"yes"
"15","1122031659",0.464,0.417,0.0256,0.136,0.022,0.0974,0.479,"0t6eWxZFkm89DuTj8tJ2fz",8,"yes"
"16","1122031659",0.506,0.868,0.0416,0.00644,0.102,0.695,0.633,"6rBko0iiPqvsTkCLyeyBGZ",10,"yes"
"17","1122031659",0.593,0.392,0.0257,0.382,0.000114,0.131,0.25,"3W2ZcrRsInZbjWylOi6KhZ",8,"yes"
"18","1122031659",0.811,0.699,0.114,0.0726,1.38e-06,0.148,0.733,"63CSozvYUEudPp12679UVF",3,"yes"
"19","1122031659",0.515,0.95,0.0652,0.0548,0.213,0.42,0.68,"0fxMIXpGObFMpelfT4Iz12",10,"yes"
"20","1122031659",0.85,0.769,0.0769,0.0893,1.25e-05,0.0788,0.901,"5DUsy8Lh1u0xINwe0M2XVt",3,"yes"
"21","1122031659",0.635,0.898,0.0406,0.0748,0,0.259,0.816,"7kUvuhEwIu5m36xk1sysB6",3,"yes"
"22","1122031659",0.427,0.364,0.0313,0.479,0,0.098,0.39,"5mkpRcKJW7E9vlDoRJGxr9",8,"yes"
"23","1122031659",0.484,0.649,0.0561,0.258,0.0116,0.0898,0.838,"75DL3MG47GRsvV9wsmORLr",3,"yes"
"24","1122031659",0.562,0.724,0.0271,0.0124,1.42e-06,0.223,0.855,"4iwpCp7qdDLngGI3gsVTza",3,"yes"
"25","1122031659",0.322,0.868,0.134,0.00548,4.34e-05,0.884,0.4,"4Wg7fFccdDBL1sJGiu14w7",10,"yes"
"26","1122031659",0.231,0.573,0.0466,0.00696,0.00501,0.701,0.378,"2H9E4Xr2WTabI9tPIsQKqU",10,"yes"
"27","1122031659",0.557,0.377,0.0289,0.393,0.00744,0.115,0.383,"0ua8Dcxr87WQGUowaf0SFb",8,"yes"
"28","1122031659",0.678,0.727,0.0258,0.117,0.00396,0.354,0.71,"4euAGZTszWPrriggYK0HG9",3,"yes"
"29","1122031659",0.43,0.704,0.0804,0.000155,0.00221,0.0933,0.703,"7fcfNW0XxTWlwVlftzfDOR",3,"yes"
"30","1122031659",0.778,0.317,0.334,0.592,0,0.0881,0.327,"6ocbgoVGwYJhOv1GgI9NsF",8,"yes"
"31","1122031659",0.596,0.891,0.0364,0.249,0,0.173,0.856,"47RMO8yDJ5YuTz8M3s5kyk",3,"yes"
"32","1122031659",0.749,0.748,0.0323,0.295,0.000443,0.469,0.827,"2TxCwUlqaOH3TIyJqGgR91",3,"yes"
"33","1122031659",0.572,0.899,0.0633,0.00265,0.000384,0.0967,0.857,"1B2KqBbo71jf5n3lftM6G2",3,"yes"
"34","1122031659",0.42,0.33,0.0275,0.245,0.000679,0.0677,0.175,"1LzNfuep1bnAUR9skqdHCK",8,"yes"
"35","1122031659",0.448,0.679,0.0283,0.358,0.0335,0.0892,0.49,"2g8Mr7v89JqM0uziHEoCtr",8,"yes"
"36","1122031659",0.637,0.878,0.0302,0.0775,0.0227,0.364,0.742,"0FkLMOUTkSTPSAYkIXQ579",3,"yes"
"37","1122031659",0.74,0.876,0.0369,0.0173,0.00152,0.0785,0.825,"0ZqveF2rEFlz2oqF2xrriP",3,"yes"
"38","1122031659",0.723,0.969,0.142,0.0643,0,0.115,0.728,"54OR1VDpfkBuOY5zZjhZAY",3,"yes"
"39","1122031659",0.636,0.945,0.0501,0.00553,0.0068,0.32,0.969,"7ij1EPVT6dfIkCWx51L8cd",3,"yes"
